Designator,Mid X,Mid Y,Rotation,Layer
A1,128.88,-88.22,0.0,top
C1,128.2,-75.5,180.0,bottom
J5,129.25,-69.5,180.0,bottom
R1,140.0,-73.5,270.0,bottom
UPDI,140.0,-68.25,0.0,top
