Designator,Mid X,Mid Y,Rotation,Layer
C1,164.45,-80.25,180.0,bottom
C2,173.0,-89.0,180.0,bottom
C5,173.5,-79.75,0.0,bottom
D1,168.9375,-85.0,0.0,bottom
J1,159.52,-95.75,90.0,top
J2,180.549999,-94.226499,0.0,bottom
J3,165.77,-95.75,90.0,top
J5,172.75,-94.25,0.0,bottom
R3,184.5,-79.25,0.0,bottom
U1,179.25,-84.5,270.0,bottom
U2,159.591,-84.26,0.0,top
U3,169.5,-80.75,180.0,bottom
